GeoFips,GeoName,LineCode,Description,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3
01000,Alabama,1,All industry total,228676.3,230521.9,233042.0,234007.4,234320.7,214635.2,236544.9,238067.4,244364.0,251708.4,256089.6,264277.0,269436.4,275396.0,280219.7
01000,Alabama,2,"  Private industries",191741.9,193163.7,194851.5,195422.5,195038.7,175850.8,196886.7,198235.5,204240.1,210924.1,214754.9,222765.8,227583.9,233134.1,237352.0
01000,Alabama,3,"      Agriculture, forestry, fishing and hunting",1852.0,1875.0,1985.0,2161.0,2428.7,862.0,1372.7,1741.6,2494.5,2512.5,3112.3,3087.4,4185.4,5120.6,5191.0
01000,Alabama,6,"      Mining, quarrying, and oil and gas extraction",1871.3,1822.4,1822.4,1857.4,1807.8,1203.6,1680.6,1664.3,1845.5,1745.3,1745.3,2121.0,2475.1,3013.1,2847.6
01000,Alabama,10,"      Utilities",6451.2,6502.5,6526.8,6541.9,6197.3,6255.1,6651.0,6946.5,6846.9,6963.7,7093.2,7638.2,7155.0,8392.3,8813.9
01000,Alabama,11,"      Construction",9663.5,10071.5,10223.7,10292.8,10243.6,10136.3,10376.5,10740.4,10757.0,10890.6,11030.7,11325.5,11586.2,11654.8,11960.2
01000,Alabama,12,"      Manufacturing",38159.6,37968.8,37679.3,37419.8,37112.0,31066.3,36451.6,36404.3,37738.8,39447.4,39732.2,41608.6,43059.9,44108.1,44595.9
01000,Alabama,13,"          Durable goods manufacturing",25325.1,25120.0,24809.7,24607.5,24371.6,20443.5,24632.9,24547.1,25632.7,26542.1,26396.6,27236.4,28846.4,29356.1,30029.9
01000,Alabama,25,"          Nondurable goods manufacturing",12834.4,12848.8,12869.7,12812.3,12740.4,10622.8,11818.7,11857.2,12106.1,12905.3,13335.6,14372.1,14213.6,14752.0,14566.0
01000,Alabama,34,"      Wholesale trade",13459.3,13422.0,13623.8,13735.0,13983.9,12760.3,14355.5,14333.8,14788.4,15602.2,16049.6,17032.1,17249.5,17460.0,17679.3
01000,Alabama,35,"      Retail trade",15088.3,15234.1,15537.9,15573.6,15492.4,15311.8,17011.9,16776.2,17613.1,18316.0,18170.5,18629.3,19196.4,19283.4,19608.6
