flights,dates
268136,201901
254221,201902
276084,201903
269720,201904
290574,201905
293107,201906
337746,201907
374793,201908
327193,201909
396700,201910
393376,201911
426678,201912
433105,202001
421217,202002
376047,202003
125556,202004
121642,202005
156008,202006
231573,202007
246714,202008
236531,202009
256527,202010
261237,202011
284427,202012
272823,202101
247342,202102
318133,202103
339738,202104
359680,202105
398274,202106
428180,202107
420115,202108
371201,202109
399316,202110
403024,202111
420850,202112
