,Unnamed: 0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2,ident,type,name,elevation_ft,iso_country,iso_region,municipality,iata_code,local_code,coordinates
9,957771,RJA267,RJ267,740825,JY-BAE,B788,CYUL,KDTW,2019-01-14 21:56:12+00:00,2019-01-14 23:08:21+00:00,2019-01-14 00:00:00+00:00,45.43721861758474,-73.76528856230945,609.6,42.3131103515625,-83.26519359241831,762.0,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,645.0,US,US-MI,Detroit,DTW,DTW,"-83.35340118408203, 42.212398529052734"
11,965255,AAL2569,AA2569,acc31a,N921NN,B738,CYYZ,KMIA,2019-01-15 00:30:24+00:00,2019-01-15 03:08:22+00:00,2019-01-15 00:00:00+00:00,43.67139913268008,-79.61178915841236,0.0,25.80473327636719,-80.25609334309894,53.34,KMIA,large_airport,Miami International Airport,8.0,US,US-FL,Miami,MIA,MIA,"-80.29060363769531, 25.79319953918457"
13,970245,AAL2634,AA2634,ac72e4,N901AA,A321,KSFO,KORD,2019-01-15 02:24:11+00:00,2019-01-15 06:18:57+00:00,2019-01-15 00:00:00+00:00,37.61819458007812,-122.368235486619,0.0,41.96910095214844,-87.84412037242544,304.8,KORD,large_airport,Chicago O'Hare International Airport,672.0,US,US-IL,Chicago,ORD,ORD,"-87.9048, 41.9786"
15,977848,QTR739,QR739,06a073,A7-BBC,B77L,OTHH,KLAX,2019-01-15 05:56:40+00:00,2019-01-15 21:27:49+00:00,2019-01-15 00:00:00+00:00,25.25028991699219,51.62907918294272,0.0,33.94537353515625,-118.46770617426658,198.12,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
22,986421,BAW207,BA207,400614,G-CIVL,B744,EGLL,KMIA,2019-01-15 09:45:00+00:00,2019-01-15 19:04:05+00:00,2019-01-15 00:00:00+00:00,51.47760423563295,-0.48828125,0.0,25.80326843261719,-80.23905436197913,129.54,KMIA,large_airport,Miami International Airport,8.0,US,US-FL,Miami,MIA,MIA,"-80.29060363769531, 25.79319953918457"
27,991301,AAL21,AA21,a9d286,N732AN,B77W,EGLL,KDFW,2019-01-15 11:49:07+00:00,2019-01-15 21:35:10+00:00,2019-01-15 00:00:00+00:00,51.47758483886719,-0.4757525469805728,0.0,32.943832397460945,-97.0544860839844,281.94,KDFW,large_airport,Dallas Fort Worth International Airport,607.0,US,US-TX,Dallas-Fort Worth,DFW,DFW,"-97.038002, 32.896801"
35,1002337,AAL255,AA255,a02c40,N110AN,A321,KJFK,KLAX,2019-01-15 15:19:01+00:00,2019-01-15 20:59:52+00:00,2019-01-15 00:00:00+00:00,40.64817810058594,-73.76458740234375,0.0,33.930679321289055,-118.4483119419643,152.4,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
37,1002834,AAL343,AA343,ac892e,N907AA,A321,KSFO,KMIA,2019-01-15 15:27:35+00:00,2019-01-15 20:07:33+00:00,2019-01-15 00:00:00+00:00,37.60973914194915,-122.3475116232167,304.8,25.77067565917969,-80.24632771809894,160.02,KMIA,large_airport,Miami International Airport,8.0,US,US-FL,Miami,MIA,MIA,"-80.29060363769531, 25.79319953918457"
38,1003617,ASA628,AS628,a24dc1,N248AK,B739,KSEA,KJFK,2019-01-15 15:42:00+00:00,2019-01-15 20:28:44+00:00,2019-01-15 00:00:00+00:00,47.43198200807733,-122.3081852839543,0.0,40.61270141601562,-73.7381591796875,213.36,KJFK,large_airport,John F Kennedy International Airport,13.0,US,US-NY,New York,JFK,JFK,"-73.7789, 40.639801"
41,1004539,AAL1218,AA1218,adb014,N981NN,B738,KDCA,KPHX,2019-01-15 15:59:12+00:00,2019-01-15 20:35:59+00:00,2019-01-15 00:00:00+00:00,38.86725474212129,-77.04095458984375,0.0,33.44082641601562,-112.055712890625,457.2,KPHX,large_airport,Phoenix Sky Harbor International Airport,1135.0,US,US-AZ,Phoenix,PHX,PHX,"-112.01200103759766, 33.43429946899414"
42,1005131,UAL1567,UA1567,a58672,N455UA,A320,MMMX,KIAD,2019-01-15 16:10:08+00:00,2019-01-15 19:46:23+00:00,2019-01-15 00:00:00+00:00,19.49615478515625,-98.9645985194615,2743.2,38.94257626291049,-77.43617248535156,30.48,KIAD,large_airport,Washington Dulles International Airport,312.0,US,US-DC,Washington,IAD,IAD,"-77.45580292, 38.94449997"
43,1005678,UAL925,UA925,a1ede9,N223UA,B772,EGLL,KIAD,2019-01-15 16:20:25+00:00,2019-01-16 00:07:59+00:00,2019-01-16 00:00:00+00:00,51.46484892247086,-0.476531982421875,0.0,38.94027328491211,-77.43622323741084,22.86,KIAD,large_airport,Washington Dulles International Airport,312.0,US,US-DC,Washington,IAD,IAD,"-77.45580292, 38.94449997"
45,1007941,AAL2755,AA2755,acf0da,N933AM,A321,KDFW,KSEA,2019-01-15 17:02:20+00:00,2019-01-15 20:43:13+00:00,2019-01-15 00:00:00+00:00,32.884454242253696,-97.0508684430803,0.0,47.45525812698623,-122.31797438401442,137.16,KSEA,large_airport,Seattle Tacoma International Airport,433.0,US,US-WA,Seattle,SEA,SEA,"-122.308998, 47.449001"
46,1008274,ASA1360,AS1360,a695ef,N523VA,A319,KLAX,KBOS,2019-01-15 17:08:18+00:00,2019-01-15 22:13:16+00:00,2019-01-15 00:00:00+00:00,33.949662548000525,-118.4076690673828,0.0,42.36149597167969,-70.98066850142044,7.62,KBOS,large_airport,General Edward Lawrence Logan International Airport,20.0,US,US-MA,Boston,BOS,BOS,"-71.00520325, 42.36429977"
48,1009354,AAL1960,AA1960,a163f2,N189UW,A321,KSFO,KAKH,2019-01-15 17:28:34+00:00,2019-01-15 21:37:28+00:00,2019-01-15 00:00:00+00:00,37.60945129394531,-122.3470809611868,304.8,35.21905517578125,-81.06688207509562,2400.3,KAKH,small_airport,Gastonia Municipal Airport,798.0,US,US-NC,Gastonia,,AKH,"-81.149902, 35.202598"
59,1011380,ASA1630,AS1630,a835d1,N628VA,A320,KSEA,KLAS,2019-01-15 18:06:14+00:00,2019-01-15 20:11:07+00:00,2019-01-15 00:00:00+00:00,47.44111633300781,-122.31127166748053,0.0,36.07365495067532,-115.1405172145113,594.36,KLAS,large_airport,McCarran International Airport,2181.0,US,US-NV,Las Vegas,LAS,LAS,"-115.1520004, 36.08010101"
62,1011475,ASA656,AS656,a5a11a,N462AS,B739,KSEA,KPHX,2019-01-15 18:08:00+00:00,2019-01-15 20:37:55+00:00,2019-01-15 00:00:00+00:00,47.43603205276748,-122.3112135667068,0.0,33.42892921577066,-112.0593697684152,457.2,KPHX,large_airport,Phoenix Sky Harbor International Airport,1135.0,US,US-AZ,Phoenix,PHX,PHX,"-112.01200103759766, 33.43429946899414"
82,1012862,ASA1084,AS1084,a81bd0,N621VA,A320,KSFO,KIAD,2019-01-15 18:33:50+00:00,2019-01-15 23:09:21+00:00,2019-01-15 00:00:00+00:00,37.60294251522775,-122.3330622134001,609.6,38.94462456137447,-77.459716796875,7.62,KIAD,large_airport,Washington Dulles International Airport,312.0,US,US-DC,Washington,IAD,IAD,"-77.45580292, 38.94449997"
88,1013340,UAL2045,UA2045,a94b4d,N69835,B739,KEWR,KBOS,2019-01-15 18:42:51+00:00,2019-01-15 19:21:17+00:00,2019-01-15 00:00:00+00:00,40.71977233886719,-74.13775634765625,304.8,42.36132605601165,-70.98145240961117,7.62,KBOS,large_airport,General Edward Lawrence Logan International Airport,20.0,US,US-MA,Boston,BOS,BOS,"-71.00520325, 42.36429977"
99,1014558,AAL1868,AA1868,a791c0,N587UW,A321,KSFO,KPHX,2019-01-15 19:07:31+00:00,2019-01-15 20:33:58+00:00,2019-01-15 00:00:00+00:00,37.61009216308594,-122.3538013214761,609.6,33.428878784179695,-112.060546875,480.06,KPHX,large_airport,Phoenix Sky Harbor International Airport,1135.0,US,US-AZ,Phoenix,PHX,PHX,"-112.01200103759766, 33.43429946899414"
102,1014643,AAL482,AA482,a78a52,N585UW,A321,KDEN,KPHX,2019-01-15 19:09:05+00:00,2019-01-15 20:43:54+00:00,2019-01-15 00:00:00+00:00,39.81841006521451,-104.660888671875,1828.8,33.441032797603285,-112.056735291773,457.2,KPHX,large_airport,Phoenix Sky Harbor International Airport,1135.0,US,US-AZ,Phoenix,PHX,PHX,"-112.01200103759766, 33.43429946899414"
104,1014675,UAL1830,UA1830,ab7067,N836UA,A319,KSFO,KBNA,2019-01-15 19:09:39+00:00,2019-01-15 22:49:33+00:00,2019-01-15 00:00:00+00:00,37.6122064105535,-122.3590353260869,0.0,36.21475478350106,-86.64846866688828,601.98,KBNA,large_airport,Nashville International Airport,599.0,US,US-TN,Nashville,BNA,BNA,"-86.6781997680664, 36.1245002746582"
109,1014931,AAL341,AA341,a03235,N111ZM,A321,KJFK,KLAX,2019-01-15 19:14:48+00:00,2019-01-16 00:58:24+00:00,2019-01-16 00:00:00+00:00,40.64556884765625,-73.82586669921875,304.8,33.947341918945305,-118.4484240473533,76.2,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
120,1016277,ASA641,AS641,a4b420,N402AS,B739,KTUS,KSEA,2019-01-15 19:40:09+00:00,2019-01-15 22:26:44+00:00,2019-01-15 00:00:00+00:00,32.10354045286017,-110.9245829679528,609.6,47.47682189941406,-122.3177947998047,228.6,KSEA,large_airport,Seattle Tacoma International Airport,433.0,US,US-WA,Seattle,SEA,SEA,"-122.308998, 47.449001"
137,1017658,AAL1316,AA1316,a0e7f4,N158AN,A321,KPDX,KDFW,2019-01-15 20:05:00+00:00,2019-01-15 23:14:14+00:00,2019-01-15 00:00:00+00:00,45.58255004882812,-122.564414419779,0.0,32.923977092161024,-97.05462397361288,152.4,KDFW,large_airport,Dallas Fort Worth International Airport,607.0,US,US-TX,Dallas-Fort Worth,DFW,DFW,"-97.038002, 32.896801"
